Study;TimeMonth;Weight;Percent;N;SD
Cooper (2010);0;93,7;100;99;9,29
Cooper (2010);10;83,9;89,54;99;11,03
Cooper (2010);16;86,6;92,42;99;11,33
Cooper (2010);22;88,6;94,56;99;11,3
Cooper (2010);34;91,2;97,33;99;11,1
Cooper (2010);46;92;98,19;99;11,01
Hensrud (1994);0;73,7;100;24;6,94
Hensrud (1994);10;61,2;83;24;4,94
Hensrud (1994);22;66,4;90;24;5,36
Hensrud (1994);58;72;97,6;24;8,4
Olszanecka - Glinianowicz (2012);0;94,9;100;30;14,8
Olszanecka - Glinianowicz (2012);10;86,9;91,57;30;12,9
Olszanecka - Glinianowicz (2012);70;94,1;99,16;30;15
Pekkarinen (1997);0;132,5;100;59;11,04
Pekkarinen (1997);10;116,5;87,9;59;11,04
Pekkarinen (1997);70;121,5;91,6;59;11,04
Schwarzfuchs (2012);0;91,7;100;322;11,04
Schwarzfuchs (2012);10;86,1;93,8;322;11,04
Schwarzfuchs (2012);34;87,7;95,6;322;11,04
Schwarzfuchs (2012);58;89,9;98;322;11,04
Stalonas (1984);0;81,84;100;114;11,63
Stalonas (1984);10;77,11;94,3;114;12,41
Stalonas (1984);13;81,09;99,3;114;14,02
Stalonas (1984);22;82,5;100,8;114;16
Stalonas (1984);70;87,26;106,7;114;19
Vogels (2005);0;87,3;100;91;10,65
Vogels (2005);10;79,4;90,9;91;9,68
Vogels (2005);46;88;100,8;91;10,73
Wadden (1989);0;106;100;76;19,1
Wadden (1989);10;90,05;84,95;76;10,46
Wadden (1989);22;98,7;93,11;76;14,47
Wadden (1989);70;108,2;102,01;76;16,83